label,bin,n,median_delta,mean_delta
shuffle_across,Q1 (lowest |r|),4606,-0.00427562297305565,-0.006091062082004434
shuffle_within,Q1 (lowest |r|),4606,-0.00346120617960105,-0.005704084324619498
true,Q1 (lowest |r|),4606,-0.0039830494532874,-0.006451941360057563
shuffle_across,Q2,4606,0.01591069368687145,0.013803956391944145
shuffle_within,Q2,4606,0.01460157524443355,0.012480591504035722
true,Q2,4606,0.00988378955166995,0.008569705983695086
shuffle_across,Q3,4606,0.0310644094417125,0.030886002339413805
shuffle_within,Q3,4606,0.0283492234473432,0.02809461180228333
true,Q3,4606,0.01902109035487455,0.020863608706250123
shuffle_across,Q4 (highest |r|),4606,0.06404617091666234,0.07201717519094707
shuffle_within,Q4 (highest |r|),4606,0.0588812193855802,0.0667482919776569
true,Q4 (highest |r|),4606,0.0421954295025323,0.05525370826904811
