cell_line,r_before,r_after,abs_r_before,abs_r_after,delta_abs_corr,n_genes,condition
ACH-000001,0.24261837505005077,0.24261837505005077,0.24261837505005077,0.24261837505005077,0.0,25,TRUE
ACH-000005,-0.054581489106383614,-0.053412747321815,0.054581489106383614,0.053412747321815,0.0011687417845686124,119,TRUE
ACH-000093,0.01729829967987062,0.0170553385329547,0.01729829967987062,0.0170553385329547,0.00024296114691592027,139,TRUE
ACH-000101,-0.14715533108689163,-0.14802506153442058,0.14715533108689163,0.14802506153442058,-0.0008697304475289436,140,TRUE
ACH-000111,-0.11480779466786134,-0.11480779466786134,0.11480779466786134,0.11480779466786134,0.0,24,TRUE
ACH-000144,-0.1438503389621541,-0.1438503389621541,0.1438503389621541,0.1438503389621541,0.0,24,TRUE
ACH-000145,0.07676543035604247,0.07860283538938034,0.07676543035604247,0.07860283538938034,-0.0018374050333378744,131,TRUE
ACH-000153,0.11070653761954785,0.11070653761954785,0.11070653761954785,0.11070653761954785,0.0,26,TRUE
ACH-000207,-0.22360014585434157,-0.22360014585434157,0.22360014585434157,0.22360014585434157,0.0,22,TRUE
ACH-000223,0.36302145263613383,0.36302145263613383,0.36302145263613383,0.36302145263613383,0.0,20,TRUE
ACH-000246,-0.15193208326690008,-0.15407978830164729,0.15193208326690008,0.15407978830164729,-0.002147705034747205,115,TRUE
ACH-000259,0.033455320580190025,0.033455320580190025,0.033455320580190025,0.033455320580190025,0.0,22,TRUE
ACH-000272,-0.10319522479759077,-0.10315710141738385,0.10319522479759077,0.10315710141738385,3.812338020692252e-05,114,TRUE
ACH-000318,0.07046223069697306,0.07046223069697306,0.07046223069697306,0.07046223069697306,0.0,25,TRUE
ACH-000325,0.2596937453371216,0.2596937453371216,0.2596937453371216,0.2596937453371216,0.0,20,TRUE
ACH-000344,0.029924651543092463,0.029924651543092463,0.029924651543092463,0.029924651543092463,0.0,29,TRUE
ACH-000354,0.30900342100742884,0.30900342100742884,0.30900342100742884,0.30900342100742884,0.0,22,TRUE
ACH-000374,0.15722064362341445,0.17384975016050636,0.15722064362341445,0.17384975016050636,-0.016629106537091903,20,TRUE
ACH-000408,-0.09723535890309329,-0.08383543311786135,0.09723535890309329,0.08383543311786135,0.013399925785231942,27,TRUE
ACH-000452,-0.20699691906478535,-0.20699691906478535,0.20699691906478535,0.20699691906478535,0.0,28,TRUE
ACH-000460,-0.16742547817806927,-0.16742547817806927,0.16742547817806927,0.16742547817806927,0.0,26,TRUE
ACH-000488,0.027087200140763393,0.027087200140763393,0.027087200140763393,0.027087200140763393,0.0,22,TRUE
ACH-000503,0.2791320824505506,0.2791320824505506,0.2791320824505506,0.2791320824505506,0.0,27,TRUE
ACH-000507,0.2325425862658228,0.2416026870294263,0.2325425862658228,0.2416026870294263,-0.009060100763603501,20,TRUE
ACH-000517,-0.07755699799874229,-0.07755699799874229,0.07755699799874229,0.07755699799874229,0.0,24,TRUE
ACH-000524,0.48143337783344015,0.48143337783344015,0.48143337783344015,0.48143337783344015,0.0,28,TRUE
ACH-000528,0.5048652868007238,0.5048652868007238,0.5048652868007238,0.5048652868007238,0.0,26,TRUE
ACH-000532,-0.16735039766461485,-0.16735039766461485,0.16735039766461485,0.16735039766461485,0.0,21,TRUE
ACH-000605,0.23883114662874602,0.23883114662874602,0.23883114662874602,0.23883114662874602,0.0,23,TRUE
ACH-000639,-0.4814148922360746,-0.4814148922360746,0.4814148922360746,0.4814148922360746,0.0,23,TRUE
ACH-000647,-0.19715705296173827,-0.19715705296173827,0.19715705296173827,0.19715705296173827,0.0,23,TRUE
ACH-000668,0.23933438998199463,0.23933438998199463,0.23933438998199463,0.23933438998199463,0.0,29,TRUE
ACH-000694,-0.23101541746161702,-0.23101541746161702,0.23101541746161702,0.23101541746161702,0.0,22,TRUE
ACH-000699,0.1397584804089936,0.13261033943569409,0.1397584804089936,0.13261033943569409,0.007148140973299522,31,TRUE
ACH-000739,-0.3019371060362444,-0.3019371060362444,0.3019371060362444,0.3019371060362444,0.0,21,TRUE
ACH-000805,0.25755551474924215,0.25755551474924215,0.25755551474924215,0.25755551474924215,0.0,21,TRUE
ACH-000900,0.05492660746270924,0.05492660746270924,0.05492660746270924,0.05492660746270924,0.0,22,TRUE
ACH-000917,0.44573166231839284,0.44573166231839284,0.44573166231839284,0.44573166231839284,0.0,20,TRUE
ACH-001038,-0.4481880273986779,-0.4481880273986779,0.4481880273986779,0.4481880273986779,0.0,30,TRUE
ACH-001436,-0.22207039070500972,-0.2209426284065115,0.22207039070500972,0.2209426284065115,0.0011277622984982305,94,TRUE
ACH-001610,0.2536766784392897,0.2536766784392897,0.2536766784392897,0.2536766784392897,0.0,24,TRUE
ACH-001624,0.003661821485042045,0.002583559181866399,0.003661821485042045,0.002583559181866399,0.001078262303175646,108,TRUE
ACH-001641,0.009865987309887685,0.009865987309887685,0.009865987309887685,0.009865987309887685,0.0,21,TRUE
ACH-001662,0.4140639040276626,0.4140639040276626,0.4140639040276626,0.4140639040276626,0.0,21,TRUE
ACH-001669,-0.09154283053494001,-0.09154283053494001,0.09154283053494001,0.09154283053494001,0.0,125,TRUE
ACH-001709,-0.15430771893885709,-0.15496612602100193,0.15430771893885709,0.15496612602100193,-0.0006584070821448462,136,TRUE
ACH-001863,-0.09564190694860525,-0.09564190694860525,0.09564190694860525,0.09564190694860525,0.0,23,TRUE
ACH-002020,-0.21936021672479936,-0.21936021672479936,0.21936021672479936,0.21936021672479936,0.0,118,TRUE
ACH-002045,0.22029549812144394,0.21576887829703073,0.22029549812144394,0.21576887829703073,0.004526619824413214,22,TRUE
ACH-002214,-0.1845163630437121,-0.1845163630437121,0.1845163630437121,0.1845163630437121,0.0,120,TRUE
ACH-002471,0.3644680914758027,0.3749187894392666,0.3644680914758027,0.3749187894392666,-0.010450697963463873,27,TRUE
