cell_line,k_dir_true,n_genes_true,k_dir_rot,n_genes_rot,rate_true_raw,rate_rot_raw,rate_true_eb,rate_rot_eb,post_diff_mean,post_diff_lo,post_diff_hi,post_prob_gt0,split_half_rho,n_reps
ACH-000001,0,150,3,150,0.0,0.02,0.00029840054916293457,0.012795693914113157,-0.012171293540776238,-0.028042389740881277,-0.00282942650728647,0.004,,
ACH-000004,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017102280415346239,-0.009930008314390183,0.0023518025129169724,0.118,,
ACH-000005,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017890914911175026,-0.008997303030613676,0.002242005467245547,0.107,,
ACH-000007,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017722246535026773,-0.010478020076759942,0.001888858705699253,0.104,,
ACH-000009,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018570481567242413,-0.009696828609949523,0.0016785263497360475,0.105,,
ACH-000011,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0019936178134557538,-0.010359225717796714,0.0009429250729725007,0.099,,
ACH-000012,1,150,2,150,0.006666666666666667,0.013333333333333334,0.0037485418157616047,0.009230466070727653,-0.005506298416500633,-0.020708421355305564,0.006227455233373718,0.18,,
ACH-000013,0,150,2,150,0.0,0.013333333333333334,0.00029840054916293457,0.009230466070727653,-0.009062271590898683,-0.022392895766418303,-0.0011077800745496343,0.007,,
ACH-000014,0,150,2,150,0.0,0.013333333333333334,0.00029840054916293457,0.009230466070727653,-0.008838661548295457,-0.023988443440072022,-0.0010995048625694428,0.009,,
ACH-000015,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001660479301923563,-0.008904260784182029,0.002274215456562038,0.114,,
ACH-000017,0,150,3,150,0.0,0.02,0.00029840054916293457,0.012795693914113157,-0.012507937972320504,-0.027192835596986396,-0.0025259342460760823,0.003,,
ACH-000018,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018472550063758071,-0.01031247933663055,0.0022794399968691583,0.115,,
ACH-000019,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005253417626913129,-0.01664569318293533,2.6323317393379782e-05,0.028,,
ACH-000021,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005272562749278783,-0.01657354768844173,0.0001897510469951789,0.028,,
ACH-000022,0,150,3,150,0.0,0.02,0.00029840054916293457,0.012795693914113157,-0.012214823855204887,-0.028435887337057236,-0.0024095227131923727,0.003,,
ACH-000023,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001854298521161979,-0.00915077566786161,0.002490896647531916,0.131,,
ACH-000024,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018094708179958482,-0.00958762090031244,0.0020726946803175665,0.11,,
ACH-000025,0,150,3,150,0.0,0.02,0.00029840054916293457,0.012795693914113157,-0.012197783390365695,-0.027792640690198166,-0.0027016953195278122,0.001,,
ACH-000029,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005611651562537997,-0.017221210376567236,0.00023645614614424415,0.029,,
ACH-000030,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005499632853312291,-0.01724443443920179,0.000167645922004772,0.028,,
ACH-000035,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005260138384834657,-0.016428497533230876,-7.07625424389664e-05,0.019,,
ACH-000036,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005492478339655987,-0.018277757305857692,3.0002895367990994e-06,0.026,,
ACH-000037,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017798512405679523,-0.008956976515217093,0.0017706874589233992,0.112,,
ACH-000039,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017387930996337806,-0.008547609302936066,0.0019539264940459204,0.113,,
ACH-000040,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0020454668385707247,-0.010759740056288328,0.0014522593876420513,0.105,,
ACH-000041,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005325149353928567,-0.01687619241029148,0.0002002007178643281,0.029,,
ACH-000042,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017467981962641245,-0.008349702775915199,0.0012312358528735563,0.101,,
ACH-000045,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.002041496752545402,-0.0108644938595922,0.0017377085416971198,0.108,,
