cell_line,psi_true,ci_t_lo,ci_t_hi,psi_rot,ci_r_lo,ci_r_hi,psi_diff,n_genes,p_two_sided,q_fdr
ACH-003176,79.94919171866819,0.0,84.31469662680664,-1.4113554897264922,-15.112529207702128,13.071344645808407,81.36054720839468,150,0.0006464125306006512,0.2682612001992702
ACH-000847,49.61477746604195,49.61477746604195,49.61477746604195,7.2007799860459265,7.2007799860459265,7.2007799860459265,42.41399747999603,150,,1.0
ACH-000373,30.90874618083579,-19.62172379182106,59.78378275645139,-9.873605842907038,-48.52040605762244,35.52465516143395,40.78235202374283,150,0.7683711468345727,1.0
ACH-002490,37.251623129249275,-15.623115309004323,51.419219150390994,-0.14632812097830986,-4.128933618047959,20.288224273331572,37.397951250227585,150,0.15318247707941945,1.0
ACH-000874,24.88356749555772,0.0,37.976113903396545,-12.160570692710502,-28.152917993574555,5.845171861127179,37.04413818826822,150,0.03413462337031329,1.0
ACH-002688,17.442521241256518,-14.046458360534377,39.481595541773,-13.094049976549776,-24.26937842626888,6.916509593040796,30.536571217806294,150,0.27157764510897037,1.0
ACH-000238,40.065389600825704,40.065389600825704,40.065389600825704,11.834655873418372,11.834655873418372,11.834655873418372,28.230733727407333,150,,1.0
ACH-000114,35.74175943889675,35.74175943889675,35.74175943889675,7.7043091171648586,7.7043091171648586,7.7043091171648586,28.037450321731892,150,,1.0
ACH-001401,32.739066509829456,1.696597349065666,148.27259606684163,4.859093111809896,-19.526553578966354,22.10733552188154,27.87997339801956,150,1.4275494281767407,1.0
ACH-000108,45.63226330428588,45.63226330428588,45.63226330428588,18.07371679718996,18.07371679718996,18.07371679718996,27.55854650709592,150,,1.0
ACH-001190,-12.143792345884481,-12.143792345884481,-12.143792345884481,-36.99057365902977,-36.99057365902977,-36.99057365902977,24.84678131314529,150,,1.0
ACH-000022,25.35428587762288,-11.526840650000691,38.214283969341444,1.6659341290403669,-6.8872071576783,10.267554301515496,23.688351748582512,150,0.29121861367026625,1.0
ACH-003177,18.89335182227343,-44.099473911927085,51.99271641956503,-1.1458744169188564,-10.405609366577643,12.167132862646632,20.03922623919229,150,1.290371503922403,1.0
