gene,abs_near_true,abs_max_true,near_excess_W,near_excess_A,max_excess_W,max_excess_A,delta_abs_corr_true,deltacorr_excess_W,deltacorr_excess_A,score
EZHIP,0.0124699432448312,0.0478874612648938,-0.050055565170414894,-0.019597060257909096,-0.014638047150352294,0.015820457762153503,-0.0569442833935931,-0.010661175049160504,0.001095745342738201,30741.0
RPL19,0.0048949212482301,0.0498706809965993,-0.0746037312943032,-0.0225943814506139,-0.0328235182714754,0.022381378297755296,-0.0171410513526979,-0.0306395073410207,0.0017686880801488017,29988.0
ARHGEF7,0.0066509746000085,0.0327737485785793,-0.0147776623362931,-0.0372069964904738,0.011345111642277701,-0.011084222511902997,-0.0280427646878278,0.0026541848599632017,-0.020112477495373197,29860.0
SCFD2,0.0043215467306801,0.014391966513459,-0.0017764386650924004,-0.0020474135751675,0.0052050169645273,0.0080230062076114,-0.0468319968214788,-0.0039042763755507,0.0007855611519759984,29845.0
LACTBL1,0.0074963504416164,0.0777191837483569,-0.015909451239622396,-0.06691425685135541,0.031799019289831504,-0.023620195021275797,-0.0322124182659435,0.003076506763799995,-0.0459014375254222,29777.0
ACTR3,0.0013340694344654,0.0105579407554652,-0.011851006193497,-0.005327381124033999,-0.002627134872497199,0.003896490196965801,-0.0101520174213703,-0.0084398605164934,8.855027763429897e-05,29744.0
SRRM1,0.009222549993165,0.0275927201277183,-0.0141578380962018,-0.011869545853639701,0.004212332038351498,0.006500624280913598,-0.0076031865712041,-0.0083938889486722,0.0005052391401826001,29711.0
GPR156,0.0027602676711147,0.0066588256088456,-0.0020607178480030997,-0.014053780732738599,0.001706851972596,-0.0101552227950077,-0.0257929245467351,0.0008631570567904992,-0.019371787630659998,29676.0
HRC,2.7711064719462712e-05,0.0150312477192297,-0.009405950602876838,-0.009980723870418838,0.005597586051633399,0.005022812784091399,-0.02664334131751,0.002844841401595903,0.0017162110365374003,29646.0
VAMP4,0.0031669102595055,0.036054061570718,-0.0043380554777288,-0.0038365309950432994,0.0267017117399158,0.0290506203161692,-0.042581746452627,0.0026066218264594945,-0.002159593883043605,29450.0
C1QTNF6,0.001896872703147,0.0041382477400064,-0.0054908062106667,-0.0020986199309689004,-0.0032494311738073,0.00014275510589049998,-0.0210734865273456,0.0011312689989315013,-0.0088058788778491,29432.0
OXER1,0.0051920708006108,0.0216744623194172,-0.0092960278590736,-0.028944482598337103,0.007186363659732799,-0.013994831457132699,-0.0138370159063421,0.0025330304777009018,-0.0481882933163257,29288.0
TPCN2,8.274537602544596e-05,0.0065944796215822,-0.004692228990314255,-0.011667937947528054,0.0018195052552424998,-0.0051562037019712995,-0.011648720908387,-0.0019281837502009014,0.0013678932204867992,29268.0
SLC2A7,0.0001299926012517,0.0328308019620045,-0.0098225345999062,-0.007156233694716,0.022878274760846598,0.025544575666036795,-0.0092841329971205,-0.009083161376392899,0.0015683865147225005,29244.0
PIK3CB,0.0088984250226498,0.0139258822303923,-0.0030630407075313004,-0.0124564174876408,0.001964416500211199,-0.007428960279898301,-0.0344848970017824,0.0027674461521892957,-0.014522944948574,29212.0
OGN,0.0013721867376494,0.0218245842021733,-0.0080143258194416,-0.007780967375046101,0.0124380716450823,0.011065579507986,-0.0158854002333569,0.0029267687501522976,-0.010097820454985201,29186.0
FBXO24,9.890064042160825e-05,0.0021533285092783,-0.009203253247867391,-0.0019122371626911917,-0.007148825379010701,0.00014219070616550014,-0.0091796554653429,-0.0100178848579861,0.0001127740582417009,29130.0
COX17,0.0075831664166172,0.0677092808541501,-0.0045661923275766,-0.033112408947957896,0.05555992210995629,0.027013705489574998,-0.0103875869879853,-0.0130476108773114,0.0015287674966621007,29076.0
CCPG1,0.0095324529949948,0.011052353398767,0.0007781659363096001,-0.0012837859365448998,0.002298066340081799,0.00023611446722729933,-0.0298803077120533,9.221116217230166e-05,-0.0159969038674632,29041.0
MMP7,0.0003777808306593,0.0052226596352815,-0.0008156518374511,-0.0027291431892312,0.0040292269671711005,0.0021157356153910004,-0.0139475820133619,-0.0103778621812156,0.0004098975853890005,29033.0
KCNH4,0.0013371444834193,0.0111580362512752,-0.0076461837756571,-0.0124173439895896,0.0021747079921988002,-0.0025964522217337,-0.0087632321642854,0.0021523241479031,-0.0016829029245905005,28993.0
PARP8,0.0025767214698939,0.0234267087221691,-0.0088973424220005,-0.0122527006595347,0.0119526448302747,0.0015573368332062014,-0.0274347711362451,0.004478251801245402,-0.015255681689362399,28989.0
EFCAB10,0.0112228212271458,0.0602710336879241,-0.059791755849537706,0.0009673654793538999,-0.010743543388759401,0.0500155779401322,-0.1018338268591658,-0.08044799002423719,0.0003139702570071068,28981.0
CYLC2,0.0002909214923147,0.0045533387350471,-0.002553495853123,-0.015910302022689702,0.0017089213896094003,-0.0116478847799573,-0.0070274564569281,0.0005610113033180002,-0.0167470028076336,28890.0
